M sat unsat walkunsat unconverged unknown
0 100 0 0 0 0
10 100 0 0 0 0
20 100 0 0 0 0
30 100 0 0 0 0
40 100 0 0 0 0
50 100 0 0 0 0
60 100 0 0 0 0
70 100 0 0 0 0
80 100 0 0 0 0
90 100 0 0 0 0
100 100 0 0 0 0
110 100 0 0 0 0
120 100 0 0 0 0
130 100 0 0 0 0
140 100 0 0 0 0
150 100 0 0 0 0
160 100 0 0 0 0
170 100 0 0 0 0
180 100 0 0 0 0
190 100 0 0 0 0
200 100 0 0 0 0
210 100 0 0 0 0
220 100 0 0 0 0
230 100 0 0 0 0
240 100 0 0 0 0
250 100 0 0 0 0
260 100 0 0 0 0
270 100 0 0 0 0
280 100 0 0 0 0
290 100 0 0 0 0
300 100 0 0 0 0
310 100 0 0 0 0
320 100 0 0 0 0
330 100 0 0 0 0
340 100 0 0 0 0
350 100 0 0 0 0
360 100 0 0 0 0
370 99 0 0 1 0
380 91 0 0 8 1
390 83 0 0 14 3
400 63 0 0 35 2
410 53 0 0 44 3
420 29 0 0 71 0
430 18 0 0 81 1
440 8 0 0 92 0
450 9 0 0 91 0
460 3 0 0 97 0
470 2 0 0 97 1
480 1 0 0 97 2
490 0 0 0 99 1
500 0 0 0 96 4
