M sat unsat unknown
0 1000 0 0
100 1000 0 0
200 1000 0 0
300 1000 0 0
400 1000 0 0
500 1000 0 0
600 1000 0 0
700 1000 0 0
800 1000 0 0
900 1000 0 0
1000 1000 0 0
1100 1000 0 0
1200 1000 0 0
1300 1000 0 0
1400 1000 0 0
1500 1000 0 0
1600 1000 0 0
1700 1000 0 0
1800 1000 0 0
1900 1000 0 0
2000 1000 0 0
2100 1000 0 0
2200 1000 0 0
2300 1000 0 0
2400 1000 0 0
2500 1000 0 0
2600 1000 0 0
2700 1000 0 0
2800 1000 0 0
2900 1000 0 0
3000 1000 0 0
3100 1000 0 0
3200 1000 0 0
3300 1000 0 0
3400 1000 0 0
3500 998 0 2
3600 952 0 48
3700 790 0 210
3800 510 0 490
3900 160 0 840
4000 29 0 971
4100 4 0 996
4200 0 0 1000
4300 0 0 1000
4400 0 0 1000
4500 0 0 1000
4600 0 0 1000
4700 0 0 1000
4800 0 0 1000
4900 0 0 1000
5000 0 0 1000
5100 0 0 1000
5200 0 0 1000
5300 0 0 1000
5400 0 0 1000
5500 0 0 1000
5600 0 0 1000
5700 0 0 1000
5800 0 0 1000
5900 0 0 1000
6000 0 0 1000
