M sat unsat unknown
0 100 0 0
100 100 0 0
200 100 0 0
300 100 0 0
400 100 0 0
500 100 0 0
600 100 0 0
700 100 0 0
800 100 0 0
900 100 0 0
1000 100 0 0
1100 100 0 0
1200 100 0 0
1300 100 0 0
1400 100 0 0
1500 100 0 0
1600 100 0 0
1700 100 0 0
1800 100 0 0
1900 100 0 0
2000 100 0 0
2100 100 0 0
2200 100 0 0
2300 100 0 0
2400 100 0 0
2500 100 0 0
2600 100 0 0
2700 100 0 0
2800 100 0 0
2900 100 0 0
3000 100 0 0
3100 100 0 0
3200 100 0 0
3300 100 0 0
3400 100 0 0
3500 100 0 0
3600 100 0 0
3700 100 0 0
3800 100 0 0
3900 97 0 3
4000 67 0 33
4100 22 0 78
4200 5 0 95
4300 0 0 100
4400 0 0 100
4500 0 0 100
4600 0 0 100
4700 0 0 100
4800 0 0 100
4900 0 0 100
5000 0 0 100
